id	NC1_Control	NC2_Control	NC3_Control	U2OS1_Treat	U2OS2_Treat	U2OS3_Treat
TP53BP2	10.6828111332546	10.5880952167474	10.5978777220058	10.8204452636088	10.714698965624	10.8381366430667
ATP8B2	11.3893859246426	11.3378422502911	11.3193966477893	11.2460092416827	11.2921337730513	11.2270503172638
FLG2	4.02000420004191	3.91294917222217	4.09024816144829	3.4702749057584	3.59575942876427	3.70566879992182
ADAM15	9.62519072105401	9.62368744944744	9.61701098775568	9.3917651502975	9.26814797336996	9.33905870489243
JTB	6.65416458604836	6.74707579888673	6.53316787493611	6.78249862070892	6.62001684030031	6.50724765014199
RAB13	9.97822217271133	9.85874283386832	9.98752167912143	9.63093983598005	9.56431418877403	9.41204459032059
TPM3	13.8311575462888	13.8360653563774	13.8579393223899	13.9614335379812	13.8865402172473	13.9244393685567
NUP210L	4.02000420004191	3.57284217480594	3.67233136520382	4.83124305458674	2.88997500048077	4.17316477136009
SNAPIN	9.74856574019256	9.77440118696598	9.89223472703877	9.59111390620691	9.88075763453265	9.83875623527459
SLC27A3	8.26517617927017	8.00588826199089	8.4642969692124	8.01796686169075	7.81829354996102	8.10442889020988
S100A7	0	0	0	0	1	0
UBAP2L	12.6515848911281	12.7022567628706	12.6435067556362	12.6095649991023	12.6144888598958	12.68909637375
SLC39A1	4.17316477136009	4.60537991477347	4.31202746247685	4.02000420004191	4.83124305458674	3.70566879992182
HAX1	11.25196819185	11.2110419313041	11.2025436372818	11.1348401034883	11.0449684325179	11.098291421469
CREB3L4	7.92611497299937	7.76758334337137	7.87943115773874	8.00211312411364	7.93185545184401	7.71639168800548
EFNA3	6.46517589619554	6.60089425167218	6.26986968840088	5.82690104740451	5.78004093781455	5.947556610718
KCNN3	1.38997500048077	2.76533162793585	2.60848057611145	1	1.38997500048077	0
C1orf43	11.8915674472902	11.9008926131984	11.9265481722609	11.8709423943168	11.8239626925939	11.8691959816794
GATAD2B	11.587267899369	11.5247883885132	11.5184024854953	11.4618321753501	11.4652081046921	11.387960553756
ILF2	13.1318472447757	13.1442148215335	13.1069626778367	13.1465402587305	13.1695149348393	13.1779421690396
RIT1	10.5014617369567	10.5185194146682	10.5746660947345	10.58494613406	10.5374411655081	10.5126380892027
INTS3	11.275796816798	11.1463712353002	11.2741317672239	11.0170285735511	10.9896936256902	11.1034204048383
PKLR	2.21461872992491	0	1	1	0	0
HCN3	7.04029499891882	7.24639408776575	7.13088023780259	7.34000021205373	7.24183286333112	7.45232120100416
FLG	9.05569060546958	8.84106427744555	8.97750596238048	8.69832723982598	8.5069014018425	8.14382935021437
ACTA1	4.17316477136009	1	2.60848057611145	3.4702749057584	2.72149256029689	2.82954665391665
C1orf131	9.15317837211597	8.98086528955758	9.15887403585221	9.1775601841598	9.12698369807191	9.03509116852269
GALNT2	12.4461639791998	12.3636392812746	12.4302655833144	12.3706214864954	12.3148518286297	12.3600898062626
TTC13	7.35625470986458	6.67059156812937	6.59804866611235	7.5075193898665	7.13088023780259	7.4318559167237
